"STATION","DATE","TOBS"
"USC00410433","2013-05-01","67"
"USC00410433","2013-05-02","59"
"USC00410433","2013-05-03","43"
"USC00410433","2013-05-04","48"
"USC00410433","2013-05-05","50"
"USC00410433","2013-05-06","48"
"USC00410433","2013-05-07","49"
"USC00410433","2013-05-08","64"
"USC00410433","2013-05-09","68"
"USC00410433","2013-05-10","63"
"USC00410433","2013-05-11","62"
"USC00410433","2013-05-12","61"
"USC00410433","2013-05-13","53"
"USC00410433","2013-05-14","61"
"USC00410433","2013-05-15","67"
"USC00410433","2013-05-16","68"
"USC00410433","2013-05-17","73"
"USC00410433","2013-05-18","70"
"USC00410433","2013-05-19","72"
"USC00410433","2013-05-20","72"
"USC00410433","2013-05-21","73"
"USC00410433","2013-05-22","59"
"USC00410433","2013-05-23","73"
"USC00410433","2013-05-24","73"
"USC00410433","2013-05-25","70"
"USC00410433","2013-05-26","70"
"USC00410433","2013-05-27","71"
"USC00410433","2013-05-28","73"
"USC00410433","2013-05-29","73"
"USC00410433","2013-05-30","73"
"USC00410433","2013-05-31","75"
"USC00410433","2013-06-01","75"
"USC00410433","2013-06-02","64"
"USC00410433","2013-06-03","65"
"USC00410433","2013-06-04","69"
"USC00410433","2013-06-05","68"
"USC00410433","2013-06-06","71"
"USC00410433","2013-06-07","67"
"USC00410433","2013-06-08","60"
"USC00410433","2013-06-09","72"
"USC00410433","2013-06-10","69"
"USC00410433","2013-06-11","74"
"USC00410433","2013-06-12","74"
"USC00410433","2013-06-13","74"
"USC00410433","2013-06-14","73"
"USC00410433","2013-06-15","75"
"USC00410433","2013-06-16","74"
"USC00410433","2013-06-17","75"
"USC00410433","2013-06-18","68"
"USC00410433","2013-06-19","73"
"USC00410433","2013-06-20","74"
"USC00410433","2013-06-21","75"
"USC00410433","2013-06-22","76"
"USC00410433","2013-06-23","76"
"USC00410433","2013-06-24","74"
"USC00410433","2013-06-25","76"
"USC00410433","2013-06-26","76"
"USC00410433","2013-06-27","74"
"USC00410433","2013-06-28","74"
"USC00410433","2013-06-29","72"
"USC00410433","2013-06-30","70"
"USC00410433","2013-07-01","68"
"USC00410433","2013-07-02","68"
"USC00410433","2013-07-03","63"
"USC00410433","2013-07-04","65"
"USC00410433","2013-07-05","67"
"USC00410433","2013-07-06","68"
"USC00410433","2013-07-07","73"
"USC00410433","2013-07-08","74"
"USC00410433","2013-07-09","73"
"USC00410433","2013-07-10","73"
"USC00410433","2013-07-11","74"
"USC00410433","2013-07-12","73"
"USC00410433","2013-07-13","72"
"USC00410433","2013-07-14","74"
"USC00410433","2013-07-15","68"
"USC00410433","2013-07-16","70"
"USC00410433","2013-07-17","71"
