"STATION","NAME","DATE","AWND"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-01-01","7.16"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-01-02","2.46"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-01-03","5.82"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-01-04","11.18"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-01-05","2.46"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-01-06","5.82"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-01-07","17.45"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-01-08","11.63"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-01-09","1.57"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-01-10","1.57"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-01-11","1.57"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-01-12","2.91"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-01-13","4.47"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-01-14","4.92"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-01-15","15.66"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-01-16","12.30"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-01-17","3.13"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-01-18","7.83"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-01-19","9.17"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-01-20","6.49"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-01-21","2.91"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-01-22","9.40"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-01-23","8.95"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-01-24","10.29"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-01-25","4.92"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-01-26","4.92"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-01-27","7.83"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-01-28","13.20"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-01-29","14.99"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-01-30","11.86"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-01-31","5.82"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-02-01","1.57"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-02-02","8.05"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-02-03","10.51"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-02-04","8.05"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-02-05","3.80"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-02-06","6.93"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-02-07","6.71"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-02-08","13.42"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-02-09","13.20"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-02-10","3.58"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-02-11","8.50"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-02-12","8.50"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-02-13","6.93"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-02-14","12.08"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-02-15","9.62"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-02-16","4.92"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-02-17","1.34"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-02-18","5.37"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-02-19","6.04"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2010-02-20","7.38"
