"STATION","DATE","TAVG"
"USW00013904","2013-05-01","74"
"USW00013904","2013-05-02","65"
"USW00013904","2013-05-03","54"
"USW00013904","2013-05-04","59"
"USW00013904","2013-05-05","62"
"USW00013904","2013-05-06","61"
"USW00013904","2013-05-07","64"
"USW00013904","2013-05-08","73"
"USW00013904","2013-05-09","74"
"USW00013904","2013-05-10","72"
"USW00013904","2013-05-11","71"
"USW00013904","2013-05-12","67"
"USW00013904","2013-05-13","67"
"USW00013904","2013-05-14","71"
"USW00013904","2013-05-15","76"
"USW00013904","2013-05-16","79"
"USW00013904","2013-05-17","81"
"USW00013904","2013-05-18","81"
"USW00013904","2013-05-19","81"
"USW00013904","2013-05-20","81"
"USW00013904","2013-05-21","81"
"USW00013904","2013-05-22","75"
"USW00013904","2013-05-23","81"
"USW00013904","2013-05-24","78"
"USW00013904","2013-05-25","73"
"USW00013904","2013-05-26","77"
"USW00013904","2013-05-27","78"
"USW00013904","2013-05-28","80"
"USW00013904","2013-05-29","80"
"USW00013904","2013-05-30","81"
"USW00013904","2013-05-31","83"
"USW00013904","2013-06-01","84"
"USW00013904","2013-06-02","80"
"USW00013904","2013-06-03","76"
"USW00013904","2013-06-04","79"
"USW00013904","2013-06-05","80"
"USW00013904","2013-06-06","81"
"USW00013904","2013-06-07","78"
"USW00013904","2013-06-08","75"
"USW00013904","2013-06-09","80"
"USW00013904","2013-06-10","80"
"USW00013904","2013-06-11","82"
"USW00013904","2013-06-12","81"
"USW00013904","2013-06-13","82"
"USW00013904","2013-06-14","81"
"USW00013904","2013-06-15","83"
"USW00013904","2013-06-16","84"
"USW00013904","2013-06-17","87"
"USW00013904","2013-06-18","84"
"USW00013904","2013-06-19","85"
"USW00013904","2013-06-20","86"
"USW00013904","2013-06-21","86"
"USW00013904","2013-06-22","86"
"USW00013904","2013-06-23","86"
"USW00013904","2013-06-24","86"
"USW00013904","2013-06-25","87"
"USW00013904","2013-06-26","87"
"USW00013904","2013-06-27","88"
"USW00013904","2013-06-28","89"
"USW00013904","2013-06-29","91"
"USW00013904","2013-06-30","86"
"USW00013904","2013-07-01","83"
"USW00013904","2013-07-02","78"
"USW00013904","2013-07-03","80"
"USW00013904","2013-07-04","80"
"USW00013904","2013-07-05","83"
"USW00013904","2013-07-06","84"
"USW00013904","2013-07-07","86"
"USW00013904","2013-07-08","82"
"USW00013904","2013-07-09","85"
"USW00013904","2013-07-10","86"
"USW00013904","2013-07-11","87"
"USW00013904","2013-07-12","88"
"USW00013904","2013-07-13","89"
"USW00013904","2013-07-14","88"
"USW00013904","2013-07-15","77"
"USW00013904","2013-07-16","79"
"USW00013904","2013-07-17","79"
"USW00013904","2013-07-18","80"
"USW00013904","2013-07-19","81"
"USW00013904","2013-07-20","82"
"USW00013904","2013-07-21","81"
"USW00013904","2013-07-22","84"
"USW00013904","2013-07-23","87"
"USW00013904","2013-07-24","86"
"USW00013904","2013-07-25","85"
"USW00013904","2013-07-26","87"
"USW00013904","2013-07-27","83"
"USW00013904","2013-07-28","83"
"USW00013904","2013-07-29","87"
"USW00013904","2013-07-30","87"
"USW00013904","2013-07-31","87"
"USW00013904","2013-08-01","88"
"USW00013904","2013-08-02","88"
"USW00013904","2013-08-03","88"
"USW00013904","2013-08-04","88"
"USW00013904","2013-08-05","88"
"USW00013904","2013-08-06","89"
"USW00013904","2013-08-07","89"
"USW00013904","2013-08-08","90"
"USW00013904","2013-08-09","87"
"USW00013904","2013-08-10","89"
"USW00013904","2013-08-11","85"
"USW00013904","2013-08-12","85"
"USW00013904","2013-08-13","88"
"USW00013904","2013-08-14","88"
"USW00013904","2013-08-15","84"
"USW00013904","2013-08-16","81"
"USW00013904","2013-08-17","81"
"USW00013904","2013-08-18","80"
"USW00013904","2013-08-19","81"
"USW00013904","2013-08-20","82"
"USW00013904","2013-08-21","82"
"USW00013904","2013-08-22","83"
"USW00013904","2013-08-23","84"
"USW00013904","2013-08-24","86"
"USW00013904","2013-08-25","83"
"USW00013904","2013-08-26","83"
"USW00013904","2013-08-27","78"
"USW00013904","2013-08-28","80"
"USW00013904","2013-08-29","85"
"USW00013904","2013-08-30","87"
"USW00013904","2013-08-31","88"
"USW00013904","2013-09-01","87"
"USW00013904","2013-09-02","87"
"USW00013904","2013-09-03","87"
"USW00013904","2013-09-04","88"
"USW00013904","2013-09-05","81"
"USW00013904","2013-09-06","83"
"USW00013904","2013-09-07","82"
"USW00013904","2013-09-08","78"
"USW00013904","2013-09-09","78"
"USW00013904","2013-09-10","77"
"USW00013904","2013-09-11","80"
"USW00013904","2013-09-12","81"
"USW00013904","2013-09-13","82"
"USW00013904","2013-09-14","81"
"USW00013904","2013-09-15","82"
"USW00013904","2013-09-16","81"
"USW00013904","2013-09-17","80"
"USW00013904","2013-09-18","81"
"USW00013904","2013-09-19","81"
"USW00013904","2013-09-20","78"
"USW00013904","2013-09-21","74"
"USW00013904","2013-09-22","69"
"USW00013904","2013-09-23","70"
"USW00013904","2013-09-24","76"
"USW00013904","2013-09-25","78"
"USW00013904","2013-09-26","77"
"USW00013904","2013-09-27","82"
"USW00013904","2013-09-28","82"
"USW00013904","2013-09-29","73"
"USW00013904","2013-09-30","73"
"USW00013904","2013-10-01","75"
"USW00013904","2013-10-02","80"
"USW00013904","2013-10-03","81"
"USW00013904","2013-10-04","80"
"USW00013904","2013-10-05","79"
"USW00013904","2013-10-06","67"
"USW00013904","2013-10-07","63"
"USW00013904","2013-10-08","65"
"USW00013904","2013-10-09","65"
"USW00013904","2013-10-10","70"
"USW00013904","2013-10-11","77"
"USW00013904","2013-10-12","81"
"USW00013904","2013-10-13","74"
"USW00013904","2013-10-14","74"
"USW00013904","2013-10-15","76"
"USW00013904","2013-10-16","61"
"USW00013904","2013-10-17","62"
"USW00013904","2013-10-18","62"
"USW00013904","2013-10-19","62"
"USW00013904","2013-10-20","55"
"USW00013904","2013-10-21","65"
"USW00013904","2013-10-22","65"
"USW00013904","2013-10-23","61"
"USW00013904","2013-10-24","62"
"USW00013904","2013-10-25","62"
"USW00013904","2013-10-26","68"
"USW00013904","2013-10-27","68"
"USW00013904","2013-10-28","70"
"USW00013904","2013-10-29","75"
"USW00013904","2013-10-30","77"
"USW00013904","2013-10-31","75"
"USW00013904","2013-11-01","63"
"USW00013904","2013-11-02","66"
"USW00013904","2013-11-03","53"
"USW00013904","2013-11-04","62"
"USW00013904","2013-11-05","69"
"USW00013904","2013-11-06","67"
"USW00013904","2013-11-07","53"
"USW00013904","2013-11-08","56"
"USW00013904","2013-11-09","59"
"USW00013904","2013-11-10","64"
"USW00013904","2013-11-11","63"
"USW00013904","2013-11-12","56"
"USW00013904","2013-11-13","45"
"USW00013904","2013-11-14","42"
"USW00013904","2013-11-15","59"
"USW00013904","2013-11-16","69"
"USW00013904","2013-11-17","77"
"USW00013904","2013-11-18","67"
"USW00013904","2013-11-19","64"
"USW00013904","2013-11-20","62"
"USW00013904","2013-11-21","72"
"USW00013904","2013-11-22","54"
"USW00013904","2013-11-23","38"
"USW00013904","2013-11-24","41"
"USW00013904","2013-11-25","36"
"USW00013904","2013-11-26","42"
"USW00013904","2013-11-27","44"
"USW00013904","2013-11-28","38"
"USW00013904","2013-11-29","41"
"USW00013904","2013-11-30","55"
"USW00013904","2013-12-01","62"
"USW00013904","2013-12-02","65"
"USW00013904","2013-12-03","64"
"USW00013904","2013-12-04","63"
"USW00013904","2013-12-05","54"
"USW00013904","2013-12-06","35"
"USW00013904","2013-12-07","29"
"USW00013904","2013-12-08","33"
"USW00013904","2013-12-09","37"
"USW00013904","2013-12-10","36"
"USW00013904","2013-12-11","37"
"USW00013904","2013-12-12","42"
"USW00013904","2013-12-13","44"
"USW00013904","2013-12-14","48"
"USW00013904","2013-12-15","43"
"USW00013904","2013-12-16","43"
"USW00013904","2013-12-17","47"
"USW00013904","2013-12-18","48"
"USW00013904","2013-12-19","63"
"USW00013904","2013-12-20","69"
"USW00013904","2013-12-21","60"
"USW00013904","2013-12-22","46"
"USW00013904","2013-12-23","40"
"USW00013904","2013-12-24","39"
"USW00013904","2013-12-25","44"
"USW00013904","2013-12-26","47"
"USW00013904","2013-12-27","49"
"USW00013904","2013-12-28","46"
"USW00013904","2013-12-29","49"
"USW00013904","2013-12-30","38"
"USW00013904","2013-12-31","40"
"USW00013904","2014-01-01","45"
"USW00013904","2014-01-02","46"
"USW00013904","2014-01-03","36"
"USW00013904","2014-01-04","50"
"USW00013904","2014-01-05","52"
"USW00013904","2014-01-06","31"
"USW00013904","2014-01-07","29"
"USW00013904","2014-01-08","44"
"USW00013904","2014-01-09","55"
"USW00013904","2014-01-10","65"
"USW00013904","2014-01-11","60"
"USW00013904","2014-01-12","50"
"USW00013904","2014-01-13","63"
"USW00013904","2014-01-14","50"
"USW00013904","2014-01-15","53"
"USW00013904","2014-01-16","49"
"USW00013904","2014-01-17","50"
"USW00013904","2014-01-18","44"
"USW00013904","2014-01-19","50"
"USW00013904","2014-01-20","54"
"USW00013904","2014-01-21","58"
"USW00013904","2014-01-22","45"
"USW00013904","2014-01-23","45"
"USW00013904","2014-01-24","30"
"USW00013904","2014-01-25","37"
"USW00013904","2014-01-26","54"
"USW00013904","2014-01-27","49"
"USW00013904","2014-01-28","33"
"USW00013904","2014-01-29","33"
"USW00013904","2014-01-30","41"
"USW00013904","2014-01-31","62"
"USW00013904","2014-02-01","69"
"USW00013904","2014-02-02","49"
"USW00013904","2014-02-03","37"
"USW00013904","2014-02-04","46"
"USW00013904","2014-02-05","42"
"USW00013904","2014-02-06","30"
"USW00013904","2014-02-07","30"
"USW00013904","2014-02-08","41"
"USW00013904","2014-02-09","51"
"USW00013904","2014-02-10","47"
"USW00013904","2014-02-11","35"
"USW00013904","2014-02-12","39"
"USW00013904","2014-02-13","42"
"USW00013904","2014-02-14","58"
"USW00013904","2014-02-15","55"
"USW00013904","2014-02-16","62"
"USW00013904","2014-02-17","67"
"USW00013904","2014-02-18","63"
"USW00013904","2014-02-19","67"
"USW00013904","2014-02-20","71"
"USW00013904","2014-02-21","55"
"USW00013904","2014-02-22","54"
"USW00013904","2014-02-23","69"
"USW00013904","2014-02-24","63"
"USW00013904","2014-02-25","65"
"USW00013904","2014-02-26","45"
"USW00013904","2014-02-27","38"
"USW00013904","2014-02-28","52"
"USW00013904","2014-03-01","60"
"USW00013904","2014-03-02","61"
"USW00013904","2014-03-03","31"
"USW00013904","2014-03-04","36"
"USW00013904","2014-03-05","43"
"USW00013904","2014-03-06","50"
"USW00013904","2014-03-07","48"
"USW00013904","2014-03-08","56"
"USW00013904","2014-03-09","46"
"USW00013904","2014-03-10","57"
"USW00013904","2014-03-11","63"
"USW00013904","2014-03-12","61"
"USW00013904","2014-03-13","50"
"USW00013904","2014-03-14","56"
"USW00013904","2014-03-15","66"
"USW00013904","2014-03-16","61"
"USW00013904","2014-03-17","53"
"USW00013904","2014-03-18","58"
"USW00013904","2014-03-19","63"
"USW00013904","2014-03-20","55"
"USW00013904","2014-03-21","61"
"USW00013904","2014-03-22","69"
"USW00013904","2014-03-23","60"
"USW00013904","2014-03-24","54"
"USW00013904","2014-03-25","54"
"USW00013904","2014-03-26","58"
"USW00013904","2014-03-27","67"
"USW00013904","2014-03-28","74"
"USW00013904","2014-03-29","65"
"USW00013904","2014-03-30","59"
"USW00013904","2014-03-31","68"
"USW00013904","2014-04-01","74"
"USW00013904","2014-04-02","76"
"USW00013904","2014-04-03","76"
"USW00013904","2014-04-04","67"
"USW00013904","2014-04-05","58"
"USW00013904","2014-04-06","57"
"USW00013904","2014-04-07","58"
"USW00013904","2014-04-08","60"
"USW00013904","2014-04-09","59"
"USW00013904","2014-04-10","68"
"USW00013904","2014-04-11","70"
"USW00013904","2014-04-12","73"
"USW00013904","2014-04-13","73"
"USW00013904","2014-04-14","64"
"USW00013904","2014-04-15","51"
"USW00013904","2014-04-16","51"
"USW00013904","2014-04-17","60"
"USW00013904","2014-04-18","65"
"USW00013904","2014-04-19","64"
"USW00013904","2014-04-20","67"
"USW00013904","2014-04-21","71"
"USW00013904","2014-04-22","74"
"USW00013904","2014-04-23","70"
"USW00013904","2014-04-24","74"
"USW00013904","2014-04-25","72"
"USW00013904","2014-04-26","74"
"USW00013904","2014-04-27","80"
"USW00013904","2014-04-28","81"
"USW00013904","2014-04-29","71"
"USW00013904","2014-04-30","65"
"USW00013904","2014-05-01","61"
"USW00013904","2014-05-02","65"
"USW00013904","2014-05-03","72"
"USW00013904","2014-05-04","73"
"USW00013904","2014-05-05","72"
"USW00013904","2014-05-06","73"
"USW00013904","2014-05-07","76"
"USW00013904","2014-05-08","77"
"USW00013904","2014-05-09","77"
"USW00013904","2014-05-10","71"
"USW00013904","2014-05-11","80"
"USW00013904","2014-05-12","79"
"USW00013904","2014-05-13","64"
"USW00013904","2014-05-14","62"
"USW00013904","2014-05-15","62"
"USW00013904","2014-05-16","71"
